First Name,Gender,Start Date,Salary,Mgmt,Team
Douglas,Male,8/6/93,,True,Marketing
Thomas,Male,3/31/96,61933.0,True,
Maria,Female,,130590.0,False,Finance
Jerry,,3/4/05,138705.0,True,Finance
Larry,Male,1/24/98,101004.0,True,IT
Dennis,Male,4/18/87,115163.0,False,Legal
Ruby,Female,8/17/87,65476.0,True,Product
,Female,7/20/15,45906.0,,Finance
Angela,Female,11/22/05,95570.0,True,Engineering
Frances,Female,8/8/02,139852.0,True,Business Dev
Louise,Female,8/12/80,63241.0,True,
Julie,Female,10/26/97,102508.0,True,Legal
Brandon,Male,12/1/80,112807.0,True,HR
Gary,Male,1/27/08,109831.0,False,Sales
Kimberly,Female,1/14/99,41426.0,True,Finance
Lillian,Female,6/5/16,59414.0,False,Product
Jeremy,Male,9/21/10,90370.0,False,HR
Shawn,Male,12/7/86,111737.0,False,Product
Diana,Female,10/23/81,132940.0,False,IT
Donna,Female,7/22/10,81014.0,False,Product
Lois,,4/22/95,64714.0,True,Legal
Matthew,Male,9/5/95,100612.0,False,Marketing
Joshua,,3/8/12,90816.0,True,IT
,Male,6/14/12,125792.0,,
John,Male,7/1/92,97950.0,False,IT
,Male,10/8/12,37076.0,,IT
Craig,Male,2/27/00,37598.0,True,Marketing
Scott,,7/11/91,122367.0,False,Legal
Terry,Male,11/27/81,124008.0,True,IT
Benjamin,Male,1/26/05,79529.0,True,Legal
Christina,Female,8/6/02,118780.0,True,Engineering
Joyce,,2/20/05,88657.0,False,Product
,Male,8/21/98,122340.0,,
Jean,Female,12/18/93,119082.0,False,Business Dev
Jerry,Male,1/10/04,95734.0,False,IT
Theresa,Female,10/10/06,85182.0,False,Sales
Rachel,Female,2/16/09,142032.0,False,Business Dev
Linda,Female,10/19/81,57427.0,True,IT
Stephanie,Female,9/13/86,36844.0,True,Business Dev
,Male,1/29/16,122173.0,,IT
Michael,Male,10/10/08,99283.0,True,Distribution
Christine,,6/28/15,66582.0,True,Business Dev
Beverly,Female,9/9/98,121918.0,False,Legal
Marilyn,Female,12/7/80,73524.0,True,Marketing
Cynthia,Female,11/16/88,145146.0,True,Product
Roger,Male,4/17/80,88010.0,True,Sales
Bruce,Male,11/28/09,114796.0,False,Finance
Kathy,Female,6/22/05,66820.0,True,IT
Clarence,Male,3/26/96,93581.0,True,Business Dev
Chris,,1/24/80,113590.0,False,Sales
Nancy,Female,9/23/00,94976.0,True,Engineering
,,12/17/11,41126.0,,Sales
Todd,Male,2/18/90,49339.0,True,HR
Alan,,3/3/14,40341.0,True,Finance
Sara,Female,8/15/07,83677.0,False,Engineering
Karen,Female,11/30/99,102488.0,True,Product
Carl,Male,5/3/06,130276.0,True,Finance
Henry,Male,6/26/96,64715.0,True,HR
Theresa,Female,4/11/10,72670.0,True,Engineering
Irene,Female,5/7/97,66851.0,False,Engineering
Paula,,11/23/05,48866.0,False,Distribution
Denise,Female,11/6/01,106862.0,False,Business Dev
,Female,6/12/07,58112.0,,Marketing
Matthew,Male,1/2/13,35203.0,False,HR
Kathleen,,4/11/90,77834.0,False,Business Dev
Steve,Male,11/11/09,61310.0,True,Distribution
Nancy,Female,12/15/12,125250.0,True,Business Dev
Rachel,Female,8/16/99,51178.0,True,Finance
